"GENDER","CATEGORY","ATHLETE","RESULT_SPORT_1","RESULT_T_1","RESULT_SPORT_2","RESULT_T_2","RESULT_SPORT_3","RESULT_FINAL","RANKING_OVERALL","RANKING_OVERALL_SPORT_1","RANKING_OVERALL_SPORT_2","RANKING_OVERALL_SPORT_3","RANKING_OVERALL_T_1","RANKING_OVERALL_T_2","RANKING_OVERALL_AFTER_T_1","RANKING_OVERALL_AFTER_SPORT_2","RANKING_OVERALL_AFTER_T_2","RANKING_CATEGORY","RANKING_CATEGORY_SPORT_1","RANKING_CATEGORY_SPORT_2","RANKING_CATEGORY_SPORT_3","RANKING_CATEGORY_T_1","RANKING_CATEGORY_T_2","RANKING_CATEGORY_AFTER_T_1","RANKING_CATEGORY_AFTER_SPORT_2","RANKING_CATEGORY_AFTER_T_2","RANKING_GENDER","RANKING_GENDER_SPORT_1","RANKING_GENDER_SPORT_2","RANKING_GENDER_SPORT_3","RANKING_GENDER_T_1","RANKING_GENDER_T_2","RANKING_GENDER_AFTER_T_1","RANKING_GENDER_AFTER_SPORT_2","RANKING_GENDER_AFTER_T_2","RACE_ID","COUNTRY"
"Women","Women0-19","CARLIE POPP",1411.488,71.415,2594.896,52.372,710.314,4840.485,26,19,39,28,15,4,19,29,26,1,1,1,1,1,1,1,1,1,10,8,16,13,5,2,8,11,10,"2026-08-29_PVHBM","CA"
"Women","Women50-59","NATHALIE CHIASSON",1537.072,90.414,2447.558,85.231,708.752,4869.027,27,36,28,26,32,34,34,28,28,4,6,5,5,5,4,5,4,4,11,15,10,11,13,13,15,10,11,"2026-08-29_PVHBM","CA"
"Women","Women50-59","CHANTELLE GRAHAM",1390.207,87.214,2604.611,124.164,680.959,4887.155,28,18,40,18,28,64,17,30,31,5,3,8,3,4,12,3,5,5,12,7,17,8,11,31,6,12,13,"2026-08-29_PVHBM","CA"
"Women","Women20-29","MAYA BARNABI",1499.177,120.643,2489.801,115.708,671.003,4896.332,29,32,31,15,57,60,33,32,33,2,2,2,1,4,4,4,2,2,13,12,11,7,26,28,14,13,14,"2026-08-29_PVHBM","CA"
"Men","Men50-59","FRANCESCO BARNABI",1461.207,178.911,2442.49,140.962,690.684,4914.254,30,25,27,20,76,71,35,31,32,3,3,4,3,6,5,5,3,3,17,14,18,12,40,37,20,19,19,"2026-08-29_PVHBM","CA"
"Men","Men60-69","ANDREW PRYSE",1603.747,123.818,2293.734,147.116,757.04,4925.455,31,48,16,38,60,72,49,24,29,4,8,3,4,10,13,8,4,4,18,29,12,20,32,38,29,17,18,"2026-08-29_PVHBM","CA"
"Men","Men60-69","LARRY CARTER",1588.948,64.671,2463.211,110.002,701.66,4928.492,32,46,29,24,12,53,38,34,34,5,7,5,3,2,9,3,5,5,19,27,19,14,9,31,22,20,20,"2026-08-29_PVHBM","CA"
"Women","Women40-49","KRISTIN BUTLER-SCHMIDT",1629.597,77.303,2406.54,73.727,743.491,4930.658,33,49,23,35,20,24,48,33,30,4,5,3,4,2,3,5,4,4,14,20,9,17,7,9,20,14,12,"2026-08-29_PVHBM","CA"
"Men","Men40-49","WILL VARGAS",1556.824,84.404,2433.544,79.046,790.992,4944.81,34,41,25,46,27,27,36,27,27,6,6,7,5,3,3,6,6,6,20,23,16,27,17,17,21,18,17,"2026-08-29_PVHBM","CA"
"Women","Women20-29","KEISHA CLARK",1431.698,108.974,2632.849,102.744,699.968,4976.233,35,24,48,22,45,48,25,35,35,3,1,4,2,3,3,1,3,3,15,11,20,9,21,20,11,15,15,"2026-08-29_PVHBM","CA"
"Men","Men20-29","SHAWN DRIEDGER",1383.159,181.426,2621.386,136.448,674.415,4996.834,36,16,43,16,77,68,29,37,40,1,1,1,1,2,2,1,1,1,21,11,26,9,41,36,18,22,25,"2026-08-29_PVHBM","CA"
"Men","Men50-59","STEPHEN EVANS",1227.161,171.724,2860.148,153.978,589.906,5002.917,37,8,64,5,74,74,11,43,47,4,1,6,1,4,6,1,5,5,22,8,37,5,38,40,9,26,28,"2026-08-29_PVHBM","CA"
"Men","Men30-39","PETER KAISER",1469.444,74.359,2695.645,61.428,749.271,5050.147,38,29,57,36,18,13,26,42,37,3,3,3,2,3,2,3,3,3,23,18,33,19,12,9,15,25,22,"2026-08-29_PVHBM","CA"
"Men","Men50-59","DERRICK YATES",1471.724,83.985,2666.326,96.11,741.961,5060.106,39,30,49,34,26,44,27,39,39,5,5,5,5,3,3,4,4,4,24,19,29,18,16,27,16,23,24,"2026-08-29_PVHBM","CA"
"Women","Women50-59","SANDRA GARAND",1515.882,152.42,2553.531,110.894,733.26,5065.987,40,35,34,29,70,54,41,38,41,6,5,6,6,12,8,6,6,6,16,14,13,14,33,23,17,16,16,"2026-08-29_PVHBM","CA"
"Men","Men60-69","PAUL CADIEUX",1566.988,111.75,2556.97,80.305,771.069,5087.082,41,43,35,43,49,29,44,40,38,6,5,6,6,8,5,6,6,6,25,25,22,24,28,19,27,24,23,"2026-08-29_PVHBM","CA"
"Men","Men20-29","CALEB HAALSTRA",1590.266,75.683,2675.153,67.988,696.957,5106.047,42,47,52,21,19,18,40,48,45,2,2,2,2,1,1,2,2,2,26,28,30,13,13,13,24,29,27,"2026-08-29_PVHBM","CA"
