"GENDER","CATEGORY","ATHLETE","RESULT_SPORT_1","RESULT_T_1","RESULT_SPORT_2","RESULT_T_2","RESULT_SPORT_3","RESULT_FINAL","RANKING_OVERALL","RANKING_OVERALL_SPORT_1","RANKING_OVERALL_SPORT_2","RANKING_OVERALL_SPORT_3","RANKING_OVERALL_T_1","RANKING_OVERALL_T_2","RANKING_OVERALL_AFTER_T_1","RANKING_OVERALL_AFTER_SPORT_2","RANKING_OVERALL_AFTER_T_2","RANKING_CATEGORY","RANKING_CATEGORY_SPORT_1","RANKING_CATEGORY_SPORT_2","RANKING_CATEGORY_SPORT_3","RANKING_CATEGORY_T_1","RANKING_CATEGORY_T_2","RANKING_CATEGORY_AFTER_T_1","RANKING_CATEGORY_AFTER_SPORT_2","RANKING_CATEGORY_AFTER_T_2","RANKING_GENDER","RANKING_GENDER_SPORT_1","RANKING_GENDER_SPORT_2","RANKING_GENDER_SPORT_3","RANKING_GENDER_T_1","RANKING_GENDER_T_2","RANKING_GENDER_AFTER_T_1","RANKING_GENDER_AFTER_SPORT_2","RANKING_GENDER_AFTER_T_2","RACE_ID","COUNTRY"
"Men","Men50-59","GREG VAIL",821.408,NA,2499.162,NA,NA,5115.715,36,39,29,NA,NA,NA,NA,33,NA,10,12,8,NA,NA,NA,NA,8,NA,29,30,26,NA,NA,NA,NA,26,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","PAT MCNEELY",812.957,NA,2636.251,NA,NA,5156.258,37,37,33,NA,NA,NA,NA,35,NA,11,10,9,NA,NA,NA,NA,9,NA,30,28,27,NA,NA,NA,NA,27,NA,"2026-06-28_VXBCX","CA"
"Women","Women40-49","AINE MCGLYNN",875.62,NA,2655.868,NA,NA,5181.332,38,48,34,NA,NA,NA,NA,34,NA,3,6,2,NA,NA,NA,NA,3,NA,8,15,7,NA,NA,NA,NA,8,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","SCOTT BURGESS",819.547,NA,2659.049,NA,NA,5181.503,39,38,37,NA,NA,NA,NA,36,NA,12,11,10,NA,NA,NA,NA,10,NA,31,29,29,NA,NA,NA,NA,28,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","MARK STRAATMAN",875.939,NA,2699.967,NA,NA,5183.631,40,49,39,NA,NA,NA,NA,39,NA,13,13,12,NA,NA,NA,NA,13,NA,32,34,31,NA,NA,NA,NA,31,NA,"2026-06-28_VXBCX","CA"
"Women","Women50-59","JULIE OXLEY",794.7,NA,2656.316,NA,NA,5185.324,41,36,36,NA,NA,NA,NA,40,NA,2,2,2,NA,NA,NA,NA,2,NA,9,9,8,NA,NA,NA,NA,9,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","PAUL CADIEUX",844.47,NA,2656.153,NA,NA,5228.11,42,44,35,NA,NA,NA,NA,41,NA,6,5,5,NA,NA,NA,NA,5,NA,33,32,28,NA,NA,NA,NA,32,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","TERRY VANDERKRUK",903.739,NA,2831.575,NA,NA,5426.638,43,52,45,NA,NA,NA,NA,42,NA,14,14,14,NA,NA,NA,NA,14,NA,34,36,34,NA,NA,NA,NA,33,NA,"2026-06-28_VXBCX","CA"
"Men","Men70-79","WAYNE CHEE",829.804,NA,2832,NA,NA,5434.595,44,41,46,NA,NA,NA,NA,44,NA,1,1,1,NA,NA,NA,NA,1,NA,35,31,35,NA,NA,NA,NA,34,NA,"2026-06-28_VXBCX","CA"
"Women","Women50-59","SANDRA GARAND",823.797,NA,2879.65,NA,NA,5440.109,45,40,48,NA,NA,NA,NA,45,NA,3,3,3,NA,NA,NA,NA,3,NA,10,10,12,NA,NA,NA,NA,11,NA,"2026-06-28_VXBCX","CA"
"Women","Women40-49","ERIKA DE LEIJA",831.96,NA,2961.898,NA,NA,5456.542,46,42,53,NA,NA,NA,NA,47,NA,4,4,5,NA,NA,NA,NA,4,NA,11,11,16,NA,NA,NA,NA,13,NA,"2026-06-28_VXBCX","CA"
"Women","Women60-69","BARBARA HUTTON",844.721,NA,2908.929,NA,NA,5471.728,47,45,49,NA,NA,NA,NA,46,NA,1,1,1,NA,NA,NA,NA,1,NA,12,13,13,NA,NA,NA,NA,12,NA,"2026-06-28_VXBCX","CA"
"Women","Women20-29","BROOKLYN MCNEELY",976.418,NA,2621.43,NA,NA,5536.996,48,61,31,NA,NA,NA,NA,43,NA,4,6,3,NA,NA,NA,NA,4,NA,13,21,5,NA,NA,NA,NA,10,NA,"2026-06-28_VXBCX","CA"
"Men","Men30-39","BEN SZMYT-VALOIS",919.213,NA,2733.208,NA,NA,5606.296,49,56,42,NA,NA,NA,NA,49,NA,4,5,4,NA,NA,NA,NA,4,NA,36,39,32,NA,NA,NA,NA,36,NA,"2026-06-28_VXBCX","CA"
"Women","Women40-49","DIANE SPILLER",782.143,NA,2799.87,NA,NA,5612.776,50,34,44,NA,NA,NA,NA,52,NA,5,3,4,NA,NA,NA,NA,5,NA,14,7,11,NA,NA,NA,NA,15,NA,"2026-06-28_VXBCX","CA"
"Men","Men70-79","JOHN READ",891.978,NA,2875.337,NA,NA,5670.408,51,50,47,NA,NA,NA,NA,50,NA,2,2,2,NA,NA,NA,NA,2,NA,37,35,36,NA,NA,NA,NA,37,NA,"2026-06-28_VXBCX","CA"
"Women","Women60-69","COLLEEN ZANCOLA",895.339,NA,2978.168,NA,NA,5693.01,52,51,55,NA,NA,NA,NA,51,NA,2,2,3,NA,NA,NA,NA,2,NA,15,16,18,NA,NA,NA,NA,14,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","COREY GAUTHIER",1106.189,NA,2763.111,NA,NA,5734.296,53,63,43,NA,NA,NA,NA,48,NA,15,15,13,NA,NA,NA,NA,15,NA,38,41,33,NA,NA,NA,NA,35,NA,"2026-06-28_VXBCX","CA"
"Women","Women60-69","MARY ANNE GRIEPSMA",933.333,NA,2964.688,NA,NA,5807.599,54,59,54,NA,NA,NA,NA,53,NA,3,3,2,NA,NA,NA,NA,3,NA,16,19,17,NA,NA,NA,NA,16,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","GORDON SZASZI",912.9,NA,3017.831,NA,NA,5857.585,55,55,56,NA,NA,NA,NA,54,NA,9,10,9,NA,NA,NA,NA,9,NA,39,38,38,NA,NA,NA,NA,38,NA,"2026-06-28_VXBCX","CA"
